,Unnamed: 0,Pre-packaged Job Solutions,Remote Testing,Adaptive/IRT,Test Type,Description,Job_Levels,Languages,Assessment_Length
0,0,/products/product-catalog/view/account-manager-solution/,T,T,"['Competencies', 'Personality & Behavior', 'Ability & Aptitude', 'Biodata & Situational Judgement']","The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.","Mid-Professional,","English (USA),",Approximate Completion Time in minutes = 49
1,1,/products/product-catalog/view/administrative-professional-short-form/,T,T,"['Ability & Aptitude', 'Knowledge & Skills', 'Personality & Behavior']","The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 36
2,2,/products/product-catalog/view/agency-manager-solution/,T,T,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior', 'Simulations']","The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.","Front Line Manager, Manager, Supervisor,","English (USA),",Approximate Completion Time in minutes = 51
3,3,/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,T,F,"['Biodata & Situational Judgement', 'Personality & Behavior']","The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.","General Population, Graduate, Entry-Level,","English International, German,",Approximate Completion Time in minutes = 30
4,4,/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,T,F,"['Biodata & Situational Judgement', 'Personality & Behavior']","The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.","Entry-Level, General Population, Graduate,","English International, German, French,",Approximate Completion Time in minutes = 20
5,5,/products/product-catalog/view/bank-administrative-assistant-short-form/,T,F,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior']","The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 35
6,6,/products/product-catalog/view/bank-collections-agent-short-form/,T,F,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior']","This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 45
7,7,/products/product-catalog/view/bank-operations-supervisor-short-form/,T,T,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior', 'Simulations']","The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.","Front Line Manager, Manager, Supervisor,","English (USA),",Approximate Completion Time in minutes = 45
8,8,/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,T,T,"['Biodata & Situational Judgement', 'Personality & Behavior', 'Simulations', 'Ability & Aptitude']","The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.","Entry-Level,","English (USA), Latin American Spanish,",Approximate Completion Time in minutes = 43
9,9,/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,T,T,"['Personality & Behavior', 'Simulations', 'Knowledge & Skills', 'Biodata & Situational Judgement', 'Ability & Aptitude']","The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 49
